short-real-server  | Speed Webhook: Scene 6c6fc799-cda8-471b-8bff-b7ba860df417 finished. Progress: 2/8
short-real-server  | Speed Webhook: Scene 68310c5e-b9c2-47cc-9417-f3f88e5a8bdf finished. Progress: 3/8
short-real-server  | Speed Webhook: Scene 992ea726-5aef-453c-bfec-7abdc75a0bdd finished. Progress: 4/8
short-real-server  | Speed Webhook: Scene 2805be47-39c0-45c0-a700-1092ff4e2402 finished. Progress: 5/8
short-real-server  |  POST /api/video/process/speed?taskId=f7fa12ea-53ee-47f7-a14e-a15b31875399&isRetriedByViolence=false 200 in 41s (compile: 2ms, render: 41s)
short-real-server  | Speed Webhook: Scene 48126320-35df-4565-a32c-2a0924371b5e finished. Progress: 6/8
short-real-server  | Speed Webhook: Scene cb5c7d8c-ecb4-48d1-8aec-e298d59df76f finished. Progress: 7/8
short-real-server  |  OPTIONS /api/user/b39d639b-95b8-46de-b3a8-19a7d83072f3 204 in 2.1s (compile: 2.1s, render: 19ms)
short-real-server  |  OPTIONS /api/user/b39d639b-95b8-46de-b3a8-19a7d83072f3 204 in 2.1s (compile: 2.1s, render: 19ms)
short-real-server  |  GET /api/user/b39d639b-95b8-46de-b3a8-19a7d83072f3 200 in 198ms (compile: 12ms, render: 186ms)
short-real-server  |  GET /api/user/b39d639b-95b8-46de-b3a8-19a7d83072f3 200 in 183ms (compile: 2ms, render: 181ms)
short-real-server  |  OPTIONS /api/video/task/user/b39d639b-95b8-46de-b3a8-19a7d83072f3 204 in 828ms (compile: 822ms, render: 5ms)
short-real-server  |  GET /api/video/task/user/b39d639b-95b8-46de-b3a8-19a7d83072f3 200 in 440ms (compile: 10ms, render: 430ms)
short-real-server  |  OPTIONS /api/video/task/f7fa12ea-53ee-47f7-a14e-a15b31875399/retry 204 in 400ms (compile: 393ms, render: 7ms)
short-real-server  |  POST /api/video/task/f7fa12ea-53ee-47f7-a14e-a15b31875399/retry 200 in 528ms (compile: 1669µs, render: 526ms)
