endpoint_id,provider,display_name,description,category,status,thumbnail_url,model_url,supported_duration_range,ai_model_price_list,is_valuable
"fal-ai/nano-banana-2","fal.ai","Nano Banana 2","Nano Banana 2 is Google's new state-of-the-art fast image generation and editing model","text-to-image","active","https://v3b.fal.media/files/b/0a900b9e/ptbZcVWIQ_fXGGHfv8Zez_0ea5ca41bdf143a29e21e30a53120672.jpg","https://fal.run/fal-ai/nano-banana-2","[]","[]","FALSE"
"fal-ai/nano-banana-2/edit","fal.ai","Nano Banana 2","Nano Banana 2 is Google's new state-of-the-art image generation and editing model\n","image-to-image","active","https://v3b.fal.media/files/b/0a900b75/DHb_RgXoXsYLdvzQz6mdn_95e87a44239c43448939b4c382dd957c.jpg","https://fal.run/fal-ai/nano-banana-2/edit","[]","[]","FALSE"
"fal-ai/nano-banana-pro","fal.ai","Nano Banana Pro","Nano Banana Pro is Google's new state-of-the-art image generation and editing model","text-to-image","active","https://v3b.fal.media/files/b/0a8691ce/SR0_u1zPJbx8jCIO6bJR0_8c83f0d66bbd48f3b55f825117941f84.jpg","https://fal.run/fal-ai/nano-banana-pro","[]","[]","FALSE"
"fal-ai/nano-banana-pro/edit","fal.ai","Nano Banana Pro","Nano Banana Pro is Google's new state-of-the-art image generation and editing model","image-to-image","active","https://v3b.fal.media/files/b/0a86920c/NHZJWHJsy3Sve0Kroa6hV_8767c85d62f6486495d2d4978c1b1de3.jpg","https://fal.run/fal-ai/nano-banana-pro/edit","[]","[]","FALSE"
"openai/gpt-image-2","fal.ai","GPT Image 2 API","GPT Image 2, OpenAI's latest image model, is capable of creating extremely detailed images with fine typography.","text-to-image","active","https://v3b.fal.media/files/b/0a970c4a/BkrYELYOiaZMXCw-pgRcB_QlgOenEx.png","https://fal.run/openai/gpt-image-2","[]","[]","FALSE"
"openai/gpt-image-2/edit","fal.ai","GPT Image 2 API","GPT Image 2, OpenAI's latest image model, is capable of making fine-grained, detailed edits to images.","image-to-image","active","https://v3b.fal.media/files/b/0a970ca7/h21vQiaCI7BvqywyJILfi_3FN3NQO0.png","https://fal.run/openai/gpt-image-2/edit","[]","[]","FALSE"
"fal-ai/nano-banana","fal.ai","Nano Banana","Google's famous original image generation and editing model","text-to-image","active","https://fal.media/files/zebra/eLGB_Z0WHjbSD4Ad5aY-g_83f5f6da4f09426489042866cb0e4e9c.jpg","https://fal.run/fal-ai/nano-banana","[]","[]","FALSE"
"fal-ai/nano-banana/edit","fal.ai","Nano Banana","Google's famous original image generation and editing model","image-to-image","active","https://fal.media/files/koala/1iXUmtPWBg9oNTpkAv48W_ce1da4146f99452f8c1dfe58dd2b150e.jpg","https://fal.run/fal-ai/nano-banana/edit","[]","[]","FALSE"
"fal-ai/flux-pro/kontext/text-to-image","fal.ai","FLUX.1 Kontext [pro]","The FLUX.1 Kontext [pro] text-to-image delivers state-of-the-art image generation results with unprecedented prompt following, photorealistic rendering, and flawless typography.","text-to-image","active","https://fal.media/files/zebra/VOrzt92hNVLX9m9jB-7-4_deea28b6b45344d4aa4eb3be14b3478e.jpg","https://fal.run/fal-ai/flux-pro/kontext/text-to-image","[]","[]","FALSE"
"fal-ai/flux-pro/kontext","fal.ai","FLUX.1 Kontext [pro]","FLUX.1 Kontext [pro] handles both text and reference images as inputs, seamlessly enabling targeted, local edits and complex transformations of entire scenes.","image-to-image","active","https://storage.googleapis.com/fal_cdn/fal/Training-2.jpg","https://fal.run/fal-ai/flux-pro/kontext","[]","[]","FALSE"
"fal-ai/flux-pro/kontext/multi","fal.ai","FLUX.1 Kontext [pro]","Experimental version of FLUX.1 Kontext [pro] with multi image handling capabilities","image-to-image","active","https://storage.googleapis.com/fal_cdn/fal/Upscale-2.jpg","https://fal.run/fal-ai/flux-pro/kontext/multi","[]","[]","FALSE"
"xai/grok-imagine-image","fal.ai","Grok Imagine Image","Generate highly aesthetic images with xAI's Grok Imagine Image generation model.","text-to-image","active","https://v3b.fal.media/files/b/0a8c4b97/vZlFRoT1SBs5XMoVqN_P5_f4b2e3f42dcc4f06a18953fda2b5c942.jpg","https://fal.run/xai/grok-imagine-image","[]","[]","FALSE"
"xai/grok-imagine-image/quality/text-to-image","fal.ai","Grok Imagine Image","Grok Imagine Pro is an advanced AI model from xAI that creates high-quality visuals from text prompts and allows you to edit or analyze existing images.","text-to-image","active","https://v3b.fal.media/files/b/0a959ac2/BbRJ1XroSH1gwHzPYc_t8_8ba16f7ab525499aaa149fba1039b4a4.jpg","https://fal.run/xai/grok-imagine-image/quality/text-to-image","[]","[]","FALSE"
"xai/grok-imagine-image/edit","fal.ai","Grok Imagine Image","Edit images precisely with xAI's Grok Imagine model","image-to-image","active","https://v3b.fal.media/files/b/0a8a0dc7/kv2XmZ5em8Kb2-7oXZndp_b897f79cbc564e1d8f4e5d5c71710c2b.jpg","https://fal.run/xai/grok-imagine-image/edit","[]","[]","FALSE"
"fal-ai/gemini-3-pro-image-preview","fal.ai","Gemini 3 Pro Image Preview","Gemini 3 Pro Image (a.k.a Nano Banana Pro) is Google's state-of-the-art high-fidelity image generation and editing model","text-to-image","active","https://v3b.fal.media/files/b/koala/Neuz3jAvI1MSVxj3tCrTU_afda4e7f4bc14945a716e864e1f609d8.jpg","https://fal.run/fal-ai/gemini-3-pro-image-preview","[]","[]","FALSE"
