endpoint_id,provider,display_name,description,category,status,thumbnail_url,model_url,supported_duration_range,ai_model_price_list,is_valuable
"fal-ai/kling-video/v3/pro/image-to-video","fal.ai","Kling Video v3 Image to Video [Pro]","Kling 3.0 Pro: Top-tier image-to-video with cinematic visuals, fluid motion, and native audio generation, with custom element support.","image-to-video","active","https://v3b.fal.media/files/b/0a8cfd08/Ji4e0i6Afbeql3Wr5UTz6_ab60b14661424612bf19059e97e996a5.jpg","https://fal.run/fal-ai/kling-video/v3/pro/image-to-video","[]","[]","FALSE"
"bytedance/seedance-2.0/image-to-video","fal.ai","Seedance 2 Image to Video","ByteDance's most advanced image-to-video model. Animate still images into cinematic video with synchronized audio, start and end frame control, and motion prompts.","image-to-video","active","https://v3b.fal.media/files/b/0a9460f5/jQItvS4Jif9E_7aLum2Bk_58643cd65d6143c19c101c10ba0d2bae.jpg","https://fal.run/bytedance/seedance-2.0/image-to-video","[]","[]","FALSE"
"bytedance/seedance-2.0/reference-to-video","fal.ai","Seedance 2 Reference to Video","ByteDance's most advanced reference-to-video model. Generate video from up to 9 images, 3 videos, and 3 audio clips with native audio and cinematic camera control.","image-to-video","active","https://v3b.fal.media/files/b/0a9460e8/feWTER1QDLrosJ7ZsmKU7_7f3a598b345c4f9eb424d4fb6cf8f6b8.jpg","https://fal.run/bytedance/seedance-2.0/reference-to-video","[]","[]","FALSE"
"fal-ai/kling-video/v2.5-turbo/pro/image-to-video","fal.ai","Kling Video","Kling 2.5 Turbo Pro: Top-tier image-to-video generation with unparalleled motion fluidity, cinematic visuals, and exceptional prompt precision.","image-to-video","active","https://v3.fal.media/files/rabbit/2KNBk1qkmEBXK0FLgfHCl_ee4bb1ada254433bbab296893a8636e3.jpg","https://fal.run/fal-ai/kling-video/v2.5-turbo/pro/image-to-video","[]","[]","FALSE"
"fal-ai/kling-video/v2.6/pro/image-to-video","fal.ai","Kling Video v2.6 Image to Video","Kling 2.6 Pro: Top-tier image-to-video with cinematic visuals, fluid motion, and native audio generation.","image-to-video","active","https://v3b.fal.media/files/b/0a84aa9c/tRb6fibztV71jrhSPfdqP_3359db6ee74a4e4e9fb408a00b02e114.jpg","https://fal.run/fal-ai/kling-video/v2.6/pro/image-to-video","[]","[]","FALSE"
"xai/grok-imagine-video/image-to-video","fal.ai","Grok Imagine Video","Generate videos from images with audio using xAI's Grok Imagine Video model. ","image-to-video","active","https://v3b.fal.media/files/b/0a8a0dd0/3wXg362MQ0pczC2ZQFBfW_c153dd469fd14b75bbd9fa6d27f1b63e.jpg","https://fal.run/xai/grok-imagine-video/image-to-video","[]","[]","FALSE"
"fal-ai/kling-video/v3/standard/image-to-video","fal.ai","Kling Video v3 Image to Video [Standard]","Kling 3.0 Standard: Top-tier image-to-video with cinematic visuals, fluid motion, and native audio generation, with custom element support.","image-to-video","active","https://v3b.fal.media/files/b/0a8cfcdb/TywpxxNj5_vDG8AUw3Yum_e2172b5c00e64a91a434ab5a38e496f0.jpg","https://fal.run/fal-ai/kling-video/v3/standard/image-to-video","[]","[]","FALSE"
"fal-ai/veo3.1/fast/image-to-video","fal.ai","Veo 3.1 Fast","Generate videos from your image prompts using Veo 3.1 fast.","image-to-video","active","https://v3b.fal.media/files/b/tiger/CcVVXXOo5stpgsAJV_6UO_74aa2dbdc79447e7ae69b533a7863038.jpg","https://fal.run/fal-ai/veo3.1/fast/image-to-video","[]","[]","FALSE"
"fal-ai/veo3.1/image-to-video","fal.ai","Veo 3.1","Veo 3.1 is the latest state-of-the art video generation model from Google DeepMind","image-to-video","active","https://v3b.fal.media/files/b/zebra/G680VZS5VpMMQO1pSt2uj_dfbae33f738344aa98a62cf2022c427c.jpg","https://fal.run/fal-ai/veo3.1/image-to-video","[]","[]","FALSE"
"bytedance/seedance-2.0/fast/image-to-video","fal.ai","Seedance 2.0 Fast Image to Video","ByteDance's most advanced image-to-video model, fast tier. Lower latency and cost with synchronized audio, start and end frame control, and motion prompts.","image-to-video","active","https://v3b.fal.media/files/b/0a9460fd/T3K2mVx51M-pOewqVAb1g_408d1bcc1efc4cfa902293ac5b1f378d.jpg","https://fal.run/bytedance/seedance-2.0/fast/image-to-video","[]","[]","FALSE"
"fal-ai/bytedance/seedance/v1.5/pro/image-to-video","fal.ai","Bytedance Seedance V1.5 Pro Image To Video","Generate videos with audio with Seedance 1.5 (supports start & end frame) ","image-to-video","active","https://v3b.fal.media/files/b/0a876c74/q6J8OsmO08A3zCFGCtsUj_cb48562eeef345b29269689dd4f95671.jpg","https://fal.run/fal-ai/bytedance/seedance/v1.5/pro/image-to-video","[]","[]","FALSE"
"bytedance/seedance-2.0/fast/reference-to-video","fal.ai","Seedance 2.0 Fast Reference to Video","ByteDance's most advanced reference-to-video model, fast tier. Lower latency and cost with up to 9 images, 3 videos, and 3 audio clips as inputs.","image-to-video","active","https://v3b.fal.media/files/b/0a9460b6/VCevn6m8ZHXjzngj0GP01_3ef8a526ee82468c9b2154bc6d10764e.jpg","https://fal.run/bytedance/seedance-2.0/fast/reference-to-video","[]","[]","FALSE"
"alibaba/happy-horse/image-to-video","fal.ai","Happy Horse","Alibaba's #1-ranked Happy Horse 1.0 — generate 1080p video with synchronized native audio and multilingual lip-sync from text prompts or images.","image-to-video","active","https://v3b.fal.media/files/b/0a975556/jB--KHf1a0VK5l_IML8nX_9a0d18b9f1cf4292a33907002e02a1ba.jpg","https://fal.run/alibaba/happy-horse/image-to-video","[]","[]","FALSE"
"fal-ai/kling-video/o3/pro/image-to-video","fal.ai","Kling O3 Image to Video [Pro]","Generate a video by taking a start frame and an end frame, animating the transition between them while following text-driven style and scene guidance.","image-to-video","active","https://v3b.fal.media/files/b/0a8cfcae/X9YwYvvnjSHOx_K4G8s69_395daf17841f4097a7cff719154bfad4.jpg","https://fal.run/fal-ai/kling-video/o3/pro/image-to-video","[]","[]","FALSE"
"fal-ai/kling-video/v2.1/standard/image-to-video","fal.ai","Kling 2.1 (standard)","Kling 2.1 Standard is a cost-efficient endpoint for the Kling 2.1 model, delivering high-quality image-to-video generation \n\n","image-to-video","active","https://v3.fal.media/files/elephant/5Yt8D9tl-IaGQ-6czSXL1_HHQ_VCby6xP_DFLkQQLpV_3c8622214c4c4ac29b4b64e157746507.jpg","https://fal.run/fal-ai/kling-video/v2.1/standard/image-to-video","[]","[]","FALSE"
"fal-ai/bytedance/seedance/v1/pro/image-to-video","fal.ai","Seedance 1.0 Pro","Seedance 1.0 Pro, a high quality video generation model developed by Bytedance.","image-to-video","active","https://storage.googleapis.com/fal_cdn/fal/for%20videos-3.jpg","https://fal.run/fal-ai/bytedance/seedance/v1/pro/image-to-video","[]","[]","FALSE"
"fal-ai/sora-2/image-to-video","fal.ai","Sora 2","Image-to-video endpoint for Sora 2, OpenAI's state-of-the-art video model capable of creating richly detailed, dynamic clips with audio from natural language or images.","image-to-video","active","https://v3.fal.media/files/kangaroo/8n-yLTQvW5q0BEvW0H2J3_8233c7e127124290b6dfa965f44ebc79.jpg","https://fal.run/fal-ai/sora-2/image-to-video","[]","[]","FALSE"
"fal-ai/minimax/hailuo-02/standard/image-to-video","fal.ai","MiniMax Hailuo 02 [Standard] (Image to Video)","MiniMax Hailuo-02 Image To Video API (Standard, 768p, 512p): Advanced image-to-video generation model with 768p and 512p resolutions","image-to-video","active","https://storage.googleapis.com/fal_cdn/fal/Upscale.jpg","https://fal.run/fal-ai/minimax/hailuo-02/standard/image-to-video","[]","[]","FALSE"
