endpoint_id,provider,display_name,description,category,status,thumbnail_url,model_url,supported_duration_range,ai_model_price_list
fal-ai/nano-banana-2,fal.ai,Nano Banana 2,Nano Banana 2 is Google's new state-of-the-art fast image generation and editing model,text-to-image,active,https://v3b.fal.media/files/b/0a900b9e/ptbZcVWIQ_fXGGHfv8Zez_0ea5ca41bdf143a29e21e30a53120672.jpg,https://fal.run/fal-ai/nano-banana-2,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.135}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.135}]"
fal-ai/nano-banana-2/edit,fal.ai,Nano Banana 2,Nano Banana 2 is Google's new state-of-the-art image generation and editing model\n,image-to-image,active,https://v3b.fal.media/files/b/0a900b75/DHb_RgXoXsYLdvzQz6mdn_95e87a44239c43448939b4c382dd957c.jpg,https://fal.run/fal-ai/nano-banana-2/edit,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.135}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.135}]"
fal-ai/nano-banana-pro,fal.ai,Nano Banana Pro,Nano Banana Pro is Google's new state-of-the-art image generation and editing model,text-to-image,active,https://v3b.fal.media/files/b/0a8691ce/SR0_u1zPJbx8jCIO6bJR0_8c83f0d66bbd48f3b55f825117941f84.jpg,https://fal.run/fal-ai/nano-banana-pro,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.15}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.15}]"
fal-ai/nano-banana-pro/edit,fal.ai,Nano Banana Pro,Nano Banana Pro is Google's new state-of-the-art image generation and editing model,image-to-image,active,https://v3b.fal.media/files/b/0a86920c/NHZJWHJsy3Sve0Kroa6hV_8767c85d62f6486495d2d4978c1b1de3.jpg,https://fal.run/fal-ai/nano-banana-pro/edit,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.15}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.15}]"
openai/gpt-image-2,fal.ai,GPT Image 2 API,"GPT Image 2, OpenAI's latest image model, is capable of creating extremely detailed images with fine typography.",text-to-image,active,https://v3b.fal.media/files/b/0a970c4a/BkrYELYOiaZMXCw-pgRcB_QlgOenEx.png,https://fal.run/openai/gpt-image-2,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.05}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.09}]"
openai/gpt-image-2/edit,fal.ai,GPT Image 2 API,"GPT Image 2, OpenAI's latest image model, is capable of making fine-grained, detailed edits to images.",image-to-image,active,https://v3b.fal.media/files/b/0a970ca7/h21vQiaCI7BvqywyJILfi_3FN3NQO0.png,https://fal.run/openai/gpt-image-2/edit,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.05}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.09}]"
fal-ai/nano-banana,fal.ai,Nano Banana,Google's famous original image generation and editing model,text-to-image,active,https://fal.media/files/zebra/eLGB_Z0WHjbSD4Ad5aY-g_83f5f6da4f09426489042866cb0e4e9c.jpg,https://fal.run/fal-ai/nano-banana,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.039}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.039}]"
fal-ai/nano-banana/edit,fal.ai,Nano Banana,Google's famous original image generation and editing model,image-to-image,active,https://fal.media/files/koala/1iXUmtPWBg9oNTpkAv48W_ce1da4146f99452f8c1dfe58dd2b150e.jpg,https://fal.run/fal-ai/nano-banana/edit,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.039}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.039}]"
fal-ai/flux-pro/kontext/text-to-image,fal.ai,FLUX.1 Kontext [pro],"The FLUX.1 Kontext [pro] text-to-image delivers state-of-the-art image generation results with unprecedented prompt following, photorealistic rendering, and flawless typography.",text-to-image,active,https://fal.media/files/zebra/VOrzt92hNVLX9m9jB-7-4_deea28b6b45344d4aa4eb3be14b3478e.jpg,https://fal.run/fal-ai/flux-pro/kontext/text-to-image,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.04}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.04}]"
fal-ai/flux-pro/kontext,fal.ai,FLUX.1 Kontext [pro],"FLUX.1 Kontext [pro] handles both text and reference images as inputs, seamlessly enabling targeted, local edits and complex transformations of entire scenes.",image-to-image,active,https://storage.googleapis.com/fal_cdn/fal/Training-2.jpg,https://fal.run/fal-ai/flux-pro/kontext,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.04}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.04}]"
xai/grok-imagine-image,fal.ai,Grok Imagine Image,Generate highly aesthetic images with xAI's Grok Imagine Image generation model.,text-to-image,active,https://v3b.fal.media/files/b/0a8c4b97/vZlFRoT1SBs5XMoVqN_P5_f4b2e3f42dcc4f06a18953fda2b5c942.jpg,https://fal.run/xai/grok-imagine-image,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.022}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.022}]"
xai/grok-imagine-image/edit,fal.ai,Grok Imagine Image,Edit images precisely with xAI's Grok Imagine model,image-to-image,active,https://v3b.fal.media/files/b/0a8a0dc7/kv2XmZ5em8Kb2-7oXZndp_b897f79cbc564e1d8f4e5d5c71710c2b.jpg,https://fal.run/xai/grok-imagine-image/edit,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.022}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.022}]"
fal-ai/qwen-image-2/text-to-image,fal.ai,Qwen Image 2,Qwen-Image-2.0 is a next-generation foundational unified generation-and-editing model,text-to-image,active,https://v3b.fal.media/files/b/0a90b317/m9a3NQEWM3KLDsoytKr9C_39eb7747f7cb475089d31bfee934a120.jpg,https://fal.run/fal-ai/qwen-image-2/text-to-image,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.035}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.035}]"
fal-ai/qwen-image-2/edit,fal.ai,Qwen Image 2,Qwen-Image-2.0 is a next-generation foundational unified generation-and-editing model,image-to-image,active,https://v3b.fal.media/files/b/0a90b2fc/Ktwh3M7POlvD59oS7rW2G_b395be4ae04343aaaf35a68bb92502c3.jpg,https://fal.run/fal-ai/qwen-image-2/edit,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.035}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.035}]"
fal-ai/qwen-image-2/pro/text-to-image,fal.ai,Qwen Image 2,Qwen-Image-2.0 is a next-generation foundational unified generation-and-editing model,text-to-image,active,https://v3b.fal.media/files/b/0a90b320/-wZWpEebEQi20T6Z5ewms_ab61b57446c945a4beb6d3cab6b9367c.jpg,https://fal.run/fal-ai/qwen-image-2/pro/text-to-image,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.075}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.075}]"
fal-ai/qwen-image-2/pro/edit,fal.ai,Qwen Image 2,Qwen-Image-2.0 is a next-generation foundational unified generation-and-editing model,image-to-image,active,https://v3b.fal.media/files/b/0a90b308/MaD9dwwc6YSa92Jhkhk0u_e29246f04f9646428d2ea04079417985.jpg,https://fal.run/fal-ai/qwen-image-2/pro/edit,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.075}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.075}]"
fal-ai/kling-image/v3/text-to-image,fal.ai,Kling Image,Kling V3: Latest Kling Image model,text-to-image,active,https://v3b.fal.media/files/b/0a8cfd08/Ji4e0i6Afbeql3Wr5UTz6_ab60b14661424612bf19059e97e996a5.jpg,https://fal.run/fal-ai/kling-image/v3/text-to-image,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.028}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.028}]"
fal-ai/kling-image/v3/image-to-image,fal.ai,Kling Image,Kling Image V3: Latest kling image model,image-to-image,active,https://v3b.fal.media/files/b/0a8cfd13/t6TSkWzl6cFAzvO1PCdDu_f38263f637d245929f03881454951540.jpg,https://fal.run/fal-ai/kling-image/v3/image-to-image,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.028}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.028}]"
fal-ai/kling-image/o3/text-to-image,fal.ai,Kling Image,Kling Omni 3: Top-tier text-to-image with flawless consistency.,text-to-image,active,https://v3b.fal.media/files/b/0a8cfcbc/DK-poq8omK9dUDtf0KCbr_41eb518e86be4c40ac1864a4a4fba2be.jpg,https://fal.run/fal-ai/kling-image/o3/text-to-image,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.028}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.028}]"
fal-ai/kling-image/o3/image-to-image,fal.ai,Kling Image,Kling Omni 3: Top-tier image-to-image with flawless consistency.,image-to-image,active,https://v3b.fal.media/files/b/0a8d24a0/FX4gbFjRsBJPDJ2WkPMFa_9f3aa39f5fd84be395b5ce3dee7e4dd1.jpg,https://fal.run/fal-ai/kling-image/o3/image-to-image,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.028}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.028}]"
fal-ai/wan/v2.7/text-to-image,fal.ai,Wan,Generate high-quality images from text prompts using the WAN 2.7 model with advanced prompt understanding and detailed output.,text-to-image,active,https://v3b.fal.media/files/b/0a948152/0UucVYSOBXiyibwSyN3HT_38400743f04344a5b25b1cd9b551a625.jpg,https://fal.run/fal-ai/wan/v2.7/text-to-image,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.03}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.03}]"
fal-ai/wan/v2.7/edit,fal.ai,Wan,Transform and edit existing images with text-guided instructions using the WAN 2.7 model for creative image manipulation.,image-to-image,active,https://v3b.fal.media/files/b/0a948161/E43snBsqtEWRB2KGM6723_8b2971637e504a00b4bcf2cec7d544b6.jpg,https://fal.run/fal-ai/wan/v2.7/edit,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.03}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.03}]"
fal-ai/wan/v2.7/pro/text-to-image,fal.ai,Wan,Generate premium-quality images from text prompts using the enhanced WAN 2.7 Pro model with superior detail and composition.,text-to-image,active,https://v3b.fal.media/files/b/0a94814a/vKQfFX-pXcXv4MDvgtybu_d79aaa7e8534459281ac0bb474872f4b.jpg,https://fal.run/fal-ai/wan/v2.7/pro/text-to-image,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.075}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.075}]"
fal-ai/wan/v2.7/pro/edit,fal.ai,Wan,"Edit and transform images using text instructions with the WAN 2.7 Pro model for precise, professional-grade image modifications.",image-to-image,active,https://v3b.fal.media/files/b/0a94816f/BhHA2kmKyAQ8vJxw_HPQ4_2b4b35f0fbb0449195d84178ba988112.jpg,https://fal.run/fal-ai/wan/v2.7/pro/edit,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.075}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.075}]"
fal-ai/qwen-image-max/text-to-image,fal.ai,Qwen Image Max,Text-to-Image endpoint for Qwen-Image-Max. Qwen Image Max improves upon the Qwen Image Plus series by enhancing the realism and naturalness of images.,text-to-image,active,https://v3b.fal.media/files/b/0a8c1c98/tClMYMPB6OkHzUHKQC6qf_65124fde152b47c9ab2db7bdf95340a0.jpg,https://fal.run/fal-ai/qwen-image-max/text-to-image,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.075}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.075}]"
fal-ai/qwen-image-max/edit,fal.ai,Qwen Image Max,Image editing endpoint for Qwen-Image-Max. Qwen Image Max improves upon the Qwen Image Plus series by enhancing the realism and naturalness of images.,image-to-image,active,https://v3b.fal.media/files/b/0a8c1c81/hMoPEMrnsMl-BPesZ3v02_cb7c0df16e074d0fb5959090fc670856.jpg,https://fal.run/fal-ai/qwen-image-max/edit,[],"[{""unit"": ""image_720p"", ""price_per_unit"": 0.075}, {""unit"": ""image_1080p"", ""price_per_unit"": 0.075}]"
bytedance/seedance-2.0/image-to-video,fal.ai,Seedance 2 Image to Video,"ByteDance's most advanced image-to-video model. Animate still images into cinematic video with synchronized audio, start and end frame control, and motion prompts.",image-to-video,active,,https://fal.run/bytedance/seedance-2.0/image-to-video,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.3024}, {""unit"": ""video_1080p"", ""price_per_unit"": 0.6804}]"
xai/grok-imagine-video/image-to-video,fal.ai,Grok Imagine Video,Generate videos from images with audio using xAI's Grok Imagine Video model. ,image-to-video,active,,https://fal.run/xai/grok-imagine-video/image-to-video,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.07}]"
