id,endpoint_id,provider,display_name,description,category,status,thumbnail_url,model_url,supported_duration_range,ai_model_price_list,created_at,updated_at
00bcad05-4765-451d-a72f-bfffa320593e,bytedance/seedream/v5/pro/text-to-image,fal.ai,Seedream 5.0 Pro,"ByteDance's Seedream 5.0 Pro is flagship text-to-image model, with deep-thinking prompt understanding, native text in 14 languages, and precise control over dense layouts and structured designs.",text-to-image,active,https://v3b.fal.media/files/b/0aa1561a/Rb0DDLUI2sx4gevoh1HKt.jpg,https://fal.run/bytedance/seedream/v5/pro/text-to-image,[],"[{""unit"":""image_720p"",""price_per_unit"":0.0675},{""unit"":""image_1080p"",""price_per_unit"":0.0675}]",2026-07-14 08:31:36.457355+00,2026-07-14 08:31:36.457355+00
0dd9aa0c-cefd-417d-b62e-1249cd258693,fal-ai/kling-video/v3/turbo/pro/image-to-video,fal.ai,Kling Video V3 Turbo Pro,"Generate high quality 1080p videos from images using Kling's Turbo 3.0 model, with improved lipsync and multishot generation capabilities.",image-to-video,active,https://v3b.fal.media/files/b/0a9e8d44/5jNAG5z5SIpJ3reiFLvE9_0dd9aa0ccefd417db62e1249cd258693.jpg,https://fal.run/fal-ai/kling-video/v3/turbo/pro/image-to-video,"[3,4,5,6,7,8,9,10,11,12,13,14,15]","[{""unit"":""video_1080p"",""price_per_unit"":0.14}]",2026-07-12 15:38:06.355626+00,2026-07-12 15:38:06.355626+00
108f8bf0-e809-40b4-9fe4-a66cb732e3af,alibaba/happy-horse/v1.1/image-to-video,fal.ai,Happy Horse 1.1,Happy Horse 1.1 is Alibaba's #1-ranked video model. This image-to-video endpoint animates a still image into 1080p video with synchronized native audio and multilingual lip-sync,image-to-video,active,https://v3b.fal.media/files/b/0a9f396f/HeOG8Txxcrw0irt78kQYt_108f8bf0e80940b49fe4a66cb732e3af.jpg,https://fal.run/alibaba/happy-horse/v1.1/image-to-video,"[3,4,5,6,7,8,9,10,11,12,13,14,15]","[{""unit"":""video_720p"",""price_per_unit"":0.14},{""unit"":""video_1080p"",""price_per_unit"":0.18}]",2026-07-12 15:38:06.355626+00,2026-07-12 15:38:06.355626+00
188e7700-d3f6-4e4e-a92a-f7918f47d07a,fal-ai/vidu/q3/image-to-video,fal.ai,Vidu Q3,Vidu's latest Q3 pro models.,image-to-video,active,,https://fal.run/fal-ai/vidu/q3/image-to-video,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]","[{""unit"":""video_720p"",""price_per_unit"":0.154},{""unit"":""video_1080p"",""price_per_unit"":0.154}]",2026-05-28 17:52:13.076265+00,2026-05-28 17:52:13.076265+00
1b14f37d-9878-45d6-950a-6ff619352597,fal-ai/qwen-image-2/pro/text-to-image,fal.ai,Qwen Image 2 Pro,Qwen-Image-2.0 is a next-generation foundational unified generation-and-editing model,text-to-image,active,https://v3b.fal.media/files/b/0a90b320/-wZWpEebEQi20T6Z5ewms_ab61b57446c945a4beb6d3cab6b9367c.jpg,https://fal.run/fal-ai/qwen-image-2/pro/text-to-image,[],"[{""unit"":""image_720p"",""price_per_unit"":0.075},{""unit"":""image_1080p"",""price_per_unit"":0.075}]",2026-05-28 17:52:13.076265+00,2026-05-28 17:52:13.076265+00
1b24d4cb-b6ff-432c-bf7e-1e9917ecfb84,fal-ai/qwen-image-2/edit,fal.ai,Qwen Image 2,Qwen-Image-2.0 is a next-generation foundational unified generation-and-editing model,image-to-image,active,https://v3b.fal.media/files/b/0a90b2fc/Ktwh3M7POlvD59oS7rW2G_b395be4ae04343aaaf35a68bb92502c3.jpg,https://fal.run/fal-ai/qwen-image-2/edit,[],"[{""unit"":""image_720p"",""price_per_unit"":0.035},{""unit"":""image_1080p"",""price_per_unit"":0.035}]",2026-05-28 17:52:13.076265+00,2026-05-28 17:52:13.076265+00
1bd90bd4-e476-40e9-8a1e-1649288786e7,fal-ai/nano-banana-2,fal.ai,Nano Banana 2,Nano Banana 2 is Google's new state-of-the-art fast image generation and editing model,text-to-image,active,https://v3b.fal.media/files/b/0a900b9e/ptbZcVWIQ_fXGGHfv8Zez_0ea5ca41bdf143a29e21e30a53120672.jpg,https://fal.run/fal-ai/nano-banana-2,[],"[{""unit"":""image_720p"",""price_per_unit"":0.135},{""unit"":""image_1080p"",""price_per_unit"":0.135}]",2026-05-28 17:52:13.076265+00,2026-05-28 17:52:13.076265+00
1f9a198f-5b64-4b03-b792-083346915328,openai/gpt-image-2,fal.ai,GPT Image 2,"GPT Image 2, OpenAI's latest image model, is capable of creating extremely detailed images with fine typography.",text-to-image,active,https://v3b.fal.media/files/b/0a970c4a/BkrYELYOiaZMXCw-pgRcB_QlgOenEx.png,https://fal.run/openai/gpt-image-2,[],"[{""unit"":""image_720p"",""price_per_unit"":0.05},{""unit"":""image_1080p"",""price_per_unit"":0.09}]",2026-05-28 17:52:13.076265+00,2026-05-28 17:52:13.076265+00
237b5026-9bc8-4b01-b5f1-e5ccd370d427,fal-ai/kling-video/o3/pro/image-to-video,fal.ai,Kling O3 Pro,"Generate a video by taking a start frame and an end frame, animating the transition between them while following text-driven style and scene guidance.",image-to-video,active,,https://fal.run/fal-ai/kling-video/o3/pro/image-to-video,"[3,4,5,6,7,8,9,10,11,12,13,14,15]","[{""unit"":""video_1080p"",""price_per_unit"":0.112}]",2026-05-28 17:52:13.076265+00,2026-05-28 17:52:13.076265+00
2c83c078-43d9-43c2-aa7a-85d6b490fc6a,google/gemini-omni-flash/image-to-video,fal.ai,Gemini Omni Flash,"Animates a still image into video with audio. Extends a single frame into coherent motion, grounded in Gemini's physical understanding of how scenes and subjects behave.",image-to-video,active,https://v3b.fal.media/files/b/0aa064c4/0I6OScPBof7TKGPvufHPG.jpg,https://fal.run/google/gemini-omni-flash/image-to-video,"[3,4,5,6,7,8,9,10]","[{""unit"":""video_720p"",""price_per_unit"":0.13}]",2026-07-12 15:38:06.355626+00,2026-07-12 15:38:06.355626+00
